Type,Identification,Field,Locale,Market,Status,Default content,Translated content
LINK,'83252904051,title,en,,,About Fassbender,Über Fassbender
LINK,'83252936819,title,en,,,Contact,Kontakt
LINK,'83276595315,title,en,,,Account,
LINK,'83276628083,title,en,,,Legal Area,
LINK,'83276660851,title,en,,,Legal Disclosure,
LINK,'83276693619,title,en,,,Returns,
LINK,'83276726387,title,en,,,Revoke Form,
LINK,'83276759155,title,en,,,Privacy Settings,
LINK,'83276791923,title,en,,,Privacy Policy,
LINK,'83277152371,title,en,,,Shopping Bag,
LINK,'83277185139,title,en,,,My Account,
LINK,'83874283635,title,en,,,Stories,
LINK,'83874316403,title,en,,,All,
LINK,'83874349171,title,en,,,Blog,
LINK,'83874381939,title,en,,,Vlog,
LINK,'85265842291,title,en,,,Store,
LINK,'85322072179,title,en,,,Customer Care,
LINK,'85421916275,title,en,,,Account,
LINK,'86509027443,title,en,,,Addresses,
LINK,'90323910771,title,en,,,Disclaimer + Legal notice,
LINK,'90323943539,title,en,,,Shipping + Return,Shipping + Returns
LINK,'90446725235,title,en,,,Cookies,
LINK,'90483163251,title,en,,,Terms and Conditions,
LINK,'90483196019,title,en,,,Contact us,
LINK,'90486145139,title,en,,,Privacy Settings,
LINK,'90486177907,title,en,,,Revoke Form,
LINK,'90565443699,title,en,,,Privacy Policy,Privacy policy
LINK,'269404799091,title,en,,,Instagram,Instagram
LINK,'269404995699,title,en,,,About,
LINK,'269412761715,title,en,,,Customer Care,
LINK,'269416333427,title,en,,,Terms and Conditions,
LINK,'269416824947,title,en,,,About,
LINK,'275644153971,title,en,,,#Fassbender,
LINK,'275644186739,title,en,,,#Fassbender,
LINK,'445320069305,title,en,,,Sustainability,
LINK,'445320134841,title,en,,,Sustainability,
LINK,'450172223673,title,en,,,Contact,
LINK,'450172256441,title,en,,,Contact,
LINK,'520015937800,title,en,,,Shop,
LINK,'520016560392,title,en,,,Shop,
LINK,'520919187720,title,en,,,Archive,
METAFIELD,'5096581464179,value,en,,,About FASSBENDER - Official Online Store,
METAFIELD,'5096581496947,value,en,,,"Discover the world of FASSBENDER, a brand founded by Christina Fassbender: Spot latest trends and shop high end ready to wear pieces! The new and exclusive outwear collection - out now!",
METAFIELD,'5096657748083,value,en,,,#FASSBENDER - Trends & Fashion Inspiration,
METAFIELD,'5096657780851,value,en,,,"Discover #FASSBENDER! Follow to gain early access to sales, updates on new collections, and editorial content with style tips and latest fashion trends.",
METAFIELD,'5096724136051,value,en,,,FASSBENDER - Customer Assistance,
METAFIELD,'5096724168819,value,en,,,Need help? It is our priority to provide you with the exceptional service you have come to expect from our online store. Your feedback is important to us. Please email us if you have any further questions.,
METAFIELD,'5096756969587,value,en,,,FASSBENDER - Legal Area,
METAFIELD,'5096757002355,value,en,,,"Access to and use of our online store are regulated by these General Terms and Conditions of Use. Access to said sites and their use, like the purchase of products presented there, presuppose the reading, awareness and acceptance of these General Terms and Conditions of Use. ",
METAFIELD,'5107972604019,value,en,,,#000000,
METAFIELD,'5107972669555,value,en,,,pea-coat-black,
METAFIELD,'5108049543283,value,en,,,#f4f4f4,
METAFIELD,'5108057243763,value,en,,,pea-coat-white-yellow,
METAFIELD,'5108109443187,value,en,,,#0c2d23,
METAFIELD,'5108109475955,value,en,,,pea-coat-bottle-green,
METAFIELD,'5108156858483,value,en,,,#f4f4f4,
METAFIELD,'5108156891251,value,en,,,pea-coat-white-yellow,
METAFIELD,'5108185563251,value,en,,,#000000,
METAFIELD,'5108185596019,value,en,,,pea-coat-bottle-green,
METAFIELD,'5108185661555,value,en,,,#0c2d23,
METAFIELD,'5108185694323,value,en,,,pea-coat-black,
METAFIELD,'5108293140595,value,en,,,#494c42,
METAFIELD,'5108293173363,value,en,,,biker-jacket-olive,
METAFIELD,'5108299038835,value,en,,,#fcfcf9,
METAFIELD,'5108299071603,value,en,,,biker-jacket-white,
METAFIELD,'5108350419059,value,en,,,#9e9c9a,
METAFIELD,'5108350451827,value,en,,,coat-navy,
METAFIELD,'5108350484595,value,en,,,#040b42,
METAFIELD,'5108350615667,value,en,,,coat-mid-grey,
METAFIELD,'5108371226739,value,en,,,#49040a,
METAFIELD,'5108371259507,value,en,,,coat-mid-grey,
METAFIELD,'5108371357811,value,en,,,#9e9c9a,
METAFIELD,'5108371685491,value,en,,,coat-burgundy,
METAFIELD,'5108389609587,value,en,,,#49040a,
METAFIELD,'5108389642355,value,en,,,coat-navy,
METAFIELD,'5108389838963,value,en,,,#040b42,
METAFIELD,'5108389871731,value,en,,,coat-burgundy,
METAFIELD,'5108515569779,value,en,,,#0d1030,
METAFIELD,'5108515635315,value,en,,,parka-velvet-navy,
METAFIELD,'5108530544755,value,en,,,#332118,
METAFIELD,'5108530577523,value,en,,,parka-velvet-olive,
METAFIELD,'5108865695859,value,en,,,#023960,
METAFIELD,'5108865794163,value,en,,,puffa-reptil-black,
METAFIELD,'5108865859699,value,en,,,#000000,
METAFIELD,'5108865990771,value,en,,,puffa-blue-petrol,
METAFIELD,'5108979859571,value,en,,,#595742,
METAFIELD,'5108979925107,value,en,,,puffa-blue-petrol,
METAFIELD,'5108980121715,value,en,,,#023960,
METAFIELD,'5108980252787,value,en,,,puffa-olive,
METAFIELD,'5109091270771,value,en,,,#d3c9a0,
METAFIELD,'5109091434611,value,en,,,trench-coat-beige,
METAFIELD,'5109139275891,value,en,,,#9b7025,
METAFIELD,'5109139308659,value,en,,,trench-coat-camel,
METAFIELD,'5127774044275,value,en,,,Material,
METAFIELD,'5127774142579,value,en,,,"<p style=""text-align: center;"">66% Alpaca / 33% Virgin wool / 1% P<span lang=""en"">olyamide<br /></span>45% Cotton / 16% Nylon / 39% Polyester<br />Lining:&nbsp;100% Polyester /&nbsp;Real metal zipper</p>",
METAFIELD,'5127793344627,value,en,,,Fit,
METAFIELD,'5127793410163,value,en,,,"<p style=""text-align: center;"">Close fit / slightly cropped<br />Size 34 - 40</p>",
METAFIELD,'5127820705907,value,en,,,Care,
METAFIELD,'5127820738675,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5127870054515,value,en,,,Material,
METAFIELD,'5127870152819,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5127870218355,value,en,,,"<p style=""text-align: center;"">Close fit / slightly cropped<br />Size 34 - 40</p>",
METAFIELD,'5127870316659,value,en,,,"<p style=""text-align: center;"">66% Alpaca / 33% Virgin wool / 1% P<span lang=""en"">olyamide<br /></span>45% Cotton / 16% Nylon / 39% Polyester<br />Lining:&nbsp;100% Polyester /&nbsp;Real metal zipper</p>",
METAFIELD,'5127870382195,value,en,,,Care,
METAFIELD,'5127870447731,value,en,,,Fit,
METAFIELD,'5127923990643,value,en,,,Material,
METAFIELD,'5127924023411,value,en,,,"<p style=""text-align: center;"">22% Virgin wool / 15% Mohair/ 14% Alpaca / 23% Polyacryl / 11% Polyester / 9%&nbsp;Polyamide / 7% Cotton<br />Insert 100% New wool<br />Lining: 60% Polyester / 40% Cotton</p>",
METAFIELD,'5127924056179,value,en,,,Fit,
METAFIELD,'5127935590515,value,en,,,"<p style=""text-align: center;"">Size 34 - 42</p>",
METAFIELD,'5127960854643,value,en,,,Material,
METAFIELD,'5127960887411,value,en,,,"<p style=""text-align: center;"">Size 34 - 42</p>",
METAFIELD,'5127960920179,value,en,,,"<p style=""text-align: center;"">66% Alpaca / 33% Virgin wool 1% Polyamide<br />Insert 68% Polyester/ 32% Cotton<br />Lining: 60% Polyester / 40% Cotton</p>",
METAFIELD,'5127960952947,value,en,,,Fit,
METAFIELD,'5127965081715,value,en,,,Material,
METAFIELD,'5127965114483,value,en,,,"<p style=""text-align: center;"">Size 34 - 42</p>",
METAFIELD,'5127965180019,value,en,,,"<p style=""text-align: center;"">66% Alpaca / 33% Virgin wool 1% Polyamide<br />Insert 68% Polyester/ 32% Cotton<br />Lining: 60% Polyester / 40% Cotton</p>",
METAFIELD,'5127965212787,value,en,,,Fit,
METAFIELD,'5128484094067,value,en,,,Material,
METAFIELD,'5128484388979,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128484421747,value,en,,,"<p style=""text-align: center;"">Loose fit <br />Size 34 - 40</p>",
METAFIELD,'5128484618355,value,en,,,"<p style=""text-align: center;"">100% Cotton<br />Hood Lining 93% Modal / 7% Polyester <br />Lining:&nbsp;100% Polyester /&nbsp;Real metal zipper</p>",
METAFIELD,'5128484651123,value,en,,,Care,
METAFIELD,'5128484880499,value,en,,,Fit,
METAFIELD,'5128485273715,value,en,,,Material,
METAFIELD,'5128485339251,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128485372019,value,en,,,"<p style=""text-align: center;"">Loose fit <br />Size 34 - 40</p>",
METAFIELD,'5128485404787,value,en,,,"<p style=""text-align: center;"">100% Cotton<br />Hood Lining 93% Modal / 7% Polyester&nbsp;<br />Lining:&nbsp;100% Polyester /&nbsp;Real metal zipper<br /><br /></p>",
METAFIELD,'5128485535859,value,en,,,Care,
METAFIELD,'5128486289523,value,en,,,Fit,
METAFIELD,'5128589901939,value,en,,,Material,
METAFIELD,'5128589934707,value,en,,,"<p style=""text-align: center;"">Size 34 - 40</p>",
METAFIELD,'5128589967475,value,en,,,"<p style=""text-align: center;"">Body 100% Virgin wool<br />Sleeve 100% Cotton<br />Lining:&nbsp;100%&nbsp;Polyester<br />Real metal snap buttons</p>",
METAFIELD,'5128590000243,value,en,,,Fit,
METAFIELD,'5128606253171,value,en,,,Material,
METAFIELD,'5128606449779,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128606777459,value,en,,,"<p style=""text-align: center;"">Size 34 - 40</p>",
METAFIELD,'5128607006835,value,en,,,"<p style=""text-align: center;"">Body 100% Virgin wool<br />Sleeve 100% Cotton<br />Lining:&nbsp;100%&nbsp;Polyester<br />Real metal snap buttons</p>",
METAFIELD,'5128607072371,value,en,,,Care,
METAFIELD,'5128607105139,value,en,,,Fit,
METAFIELD,'5128620736627,value,en,,,Material,
METAFIELD,'5128620834931,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128621064307,value,en,,,"<p style=""text-align: center;"">Size 34 - 40</p>",
METAFIELD,'5128621129843,value,en,,,"<p style=""text-align: center;"">Body 100% Virgin wool<br />Sleeve 100% Cotton<br />Lining:&nbsp;100% Polyester<br />Real metal snap buttons</p>",
METAFIELD,'5128621293683,value,en,,,Care,
METAFIELD,'5128621326451,value,en,,,Fit,
METAFIELD,'5128628273267,value,en,,,Care,
METAFIELD,'5128628338803,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128692858995,value,en,,,Material,
METAFIELD,'5128693153907,value,en,,,"<p style=""text-align: center;"">Size&nbsp;34 - 40</p>",
METAFIELD,'5128693481587,value,en,,,"<p style=""text-align: center;"">100% Polyester<br />Collar 88% Polyacryl / 12% Polyester / Rib 100% Wool <br />Lining:&nbsp;100% Polyester<br />Real metal zipper</p>",
METAFIELD,'5128693547123,value,en,,,Fit,
METAFIELD,'5128694136947,value,en,,,Material,
METAFIELD,'5128694169715,value,en,,,"<p style=""text-align: center;"">Size&nbsp;34 - 40</p>",
METAFIELD,'5128695775347,value,en,,,"<p style=""text-align: center;"">100% Polyester<br />Collar 88% Polyacryl / 12% Polyester / Rib 100% Wool <br />Lining:&nbsp;100% Polyester<br />Real metal zipper</p>",
METAFIELD,'5128695808115,value,en,,,Fit,
METAFIELD,'5128705572979,value,en,,,Care,
METAFIELD,'5128705638515,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128707440755,value,en,,,Care,
METAFIELD,'5128707506291,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128744206451,value,en,,,#595742,
METAFIELD,'5128744239219,value,en,,,puffa-olive,
METAFIELD,'5128744271987,value,en,,,#000000,
METAFIELD,'5128744304755,value,en,,,puffa-reptil-black,
METAFIELD,'5128744337523,value,en,,,"<p style=""text-align: center;"">100% Polyester<br />Collar 88% Polyacryl / 12% Polyester / Rib 100% Wool <br />Lining:&nbsp;100% Polyester<br />Real metal zipper</p>",
METAFIELD,'5128744370291,value,en,,,Material,
METAFIELD,'5128744403059,value,en,,,"<p style=""text-align: center;"">Size&nbsp;34 - 40</p>",
METAFIELD,'5128744435827,value,en,,,Fit,
METAFIELD,'5128744468595,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128744501363,value,en,,,Care,
METAFIELD,'5128892547187,value,en,,,Material,
METAFIELD,'5128892579955,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128892645491,value,en,,,"<p style=""text-align: center;"">Loose fit with dropped shoulders and drawstring waist. Detachable Liner Jacket with jersey Hood<br />Size&nbsp;34 - 42</p>",
METAFIELD,'5128892678259,value,en,,,"<p style=""text-align: center;"">Trench 100% Cotton<br />Liner Jacket 76% Polyester / 24 % Nylon <br />Sweat Hood 100% Cotton<br />Lining:&nbsp;100% Polyester<br />Fake Horn Buttons<br /><br /></p>",
METAFIELD,'5128892711027,value,en,,,Care,
METAFIELD,'5128892809331,value,en,,,Fit,
METAFIELD,'5128893366387,value,en,,,Material,
METAFIELD,'5128893399155,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128893464691,value,en,,,"<p style=""text-align: center;"">Loose fit with dropped shoulders and drawstring waist. Detachable Liner Jacket with jersey Hood<br />Size&nbsp;34 - 42</p>",
METAFIELD,'5128893497459,value,en,,,"<p style=""text-align: center;"">Trench 100% Cotton<br />Liner Jacket 76% Polyester / 24 % Nylon <br />Sweat Hood 100% Cotton<br />Lining:&nbsp;100% Polyester<br />Fake Horn Buttons<br /><br /></p>",
METAFIELD,'5128893530227,value,en,,,Care,
METAFIELD,'5128893562995,value,en,,,Fit,
METAFIELD,'5128970895475,value,en,,,Material,
METAFIELD,'5128970928243,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5128970961011,value,en,,,"<p style=""text-align: center;"">Size&nbsp;34 - 40</p>",
METAFIELD,'5128971124851,value,en,,,"<p style=""text-align: center;"">66% Alpaca/ 33% Virgin wool 1%&nbsp;Polyamide<br />Insert 68% Polyester/ 32% Cotton<br />Lining: 60% Polyester / 40% Cotton</p>",
METAFIELD,'5128971223155,value,en,,,Care,
METAFIELD,'5128971485299,value,en,,,Fit,
METAFIELD,'5129169109107,value,en,,,Care,
METAFIELD,'5129169141875,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5129180151923,value,en,,,Care,
METAFIELD,'5129180217459,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5129187491955,value,en,,,Care,
METAFIELD,'5129187557491,value,en,,,"<p style=""text-align: center;"">Dry clean</p>",
METAFIELD,'5130467573875,value,en,,,2-grid-2-images,
METAFIELD,'5130488643699,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbenderFW182-1533117998797.jpg?2635332664371534918,
METAFIELD,'5332230701171,value,en,,,&nbsp;,
METAFIELD,'5802697654387,value,en,,,magazine,
METAFIELD,'5802697719923,value,en,,,https://myfassbender.jumplink.eu/Fassbender_01_180730_Edit_Cut.mp4,
METAFIELD,'5876463206515,value,en,,,magazine,
METAFIELD,'5876463304819,value,en,,,trench-coat-beige,
METAFIELD,'5876463403123,value,en,,,magazine,
METAFIELD,'5876517929075,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/FASSBENDER1-1537820717201.jpg?12206531656042989273,
METAFIELD,'5876574290035,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/FASSBENDER3-1537820523860.jpg?2179224747966372682,
METAFIELD,'5876606402675,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/2018_07_22_MYFASSBENDER_NYC97224-1537819611354.jpg?5352586441831293049,
METAFIELD,'5876606468211,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/FASSBENDER2-1537820804582.jpg?5107427238108072588,
METAFIELD,'6259405652083,value,en,,,Biker Jacke Offwhite,
METAFIELD,'6259405717619,value,en,,,"<p style=""text-align: center;"">Bitte professionell reinigen lassen</p>",
METAFIELD,'6259405750387,value,en,,,"<p style=""text-align: center;"">Gerader, eng anliegender Schnitt und leicht verk&uuml;rzt.<br />Gr&ouml;&szlig;e 34 - 40</p>",
METAFIELD,'6259405848691,value,en,,,"<p style=""text-align: center;"">66% Alpaka/ 33% Schurwolle 1% Polyacryl<br />45% Baumwolle/16%Nylon/39%Polyester<br />100% Polyester<br />Echtmetall Rei&szlig;verschl&uuml;sse</p>",
METAFIELD,'6259406045299,value,en,,,"<p style=""text-align: center;"">Fassbender gibt dem Klassiker Biker Jacke ein luxeri&ouml;ses Update in Alpaka Faux Fur. Metall Rei&szlig;verschl&uuml;sse geben dieser Kurzjacke den typischen Biker Look</p>",
METAFIELD,'6259424690291,value,en,,,Über Uns,
METAFIELD,'6259430031475,value,en,,,Der Klassiker,
METAFIELD,'6259430097011,value,en,,,"<p>Pl&ouml;tzlich, unberechenbar und deshalb f&uuml;r uns gef&uuml;hlt auch v&ouml;llig skrupellos, lauert der kleine, fiese Feind an diesen Tagen hinter jeder Ecke.&nbsp;Egal ob K&uuml;ste, Landscape oder City: der eisige Wind kommt. Aber! Der Herbst w&auml;re nicht der Herbst, wenn er nicht auch seine sch&ouml;nen Seiten zeigen w&uuml;rde und eine davon k&ouml;nnen wir mit gro&szlig;er Klasse tragen:</p>
<p>Humphrey Bogart trug ihn in&nbsp;<em>Casablanca</em>&nbsp;und Inspector Columbo machte ihn zu seinem Markenzeichen. Als Schutz gegen Wind und Wetter wurde er vor &uuml;ber 100 Jahren im ersten Weltkrieg f&uuml;r die Soldaten eingesetzt und heute ist er aus keinem stilbewussten Kleiderschrank mehr wegzudenken - der Trenchcoat.</p>
<p>Der Trenchcoat ist ohne Zweifel ein Klassiker und wird gerade als&nbsp;<em>der&nbsp;</em>Mantel der Herbst/Winter Saison 2018 gehypt. Kein Wunder, denn kaum ein&nbsp;Kleidungsst&uuml;ck verbindet Eleganz mit so viel Vielf&auml;ltigkeit und Stilsicherheit wie der Trenchcoat.&nbsp;Funktionalit&auml;t gepaart mit femininem, zeitlosem Design - das war mein erster Gedanken bei der Entwicklung des&nbsp;<em>Fassbender Trench</em>.</p>
<p>Back to the roots und deshalb das&nbsp;<em>Must-have</em>&nbsp;f&uuml;r unseren ersten Trench: die wasserabweisende Funktion. Zu oft gingen Regenbekleidung und ein stylischer Look an den Hamburger Regentagen nicht einher.&nbsp;Der Oberstoff besteht aus reiner Baumwolle, wurde in Italien produziert und bekommt durch eine innovative Ausr&uuml;stung eine fl&uuml;ssigkeitsabweisende Funktion.</p>
<p>Fassbender&rsquo;s Interpretation des Klassikers bekommt durch die Raffung im R&uuml;cken einen femininen Touch, den man jederzeit wieder aufl&ouml;sen kann, um ihn l&auml;ssig oversized zu tragen. Die Hoody Liner Jacket inszeniert nicht nur einen coolen Streetwear Look, sie h&auml;lt dich auch bei winterlichen Temperaturen warm, wie es sonst nur Winter Outerwear Jacken/M&auml;ntel tun.</p>
<p>Vielleicht wird dieses detailverliebte St&uuml;ck auch dein neuer Klassiker f&uuml;r den kommenden Herbst, Winter und im Fr&uuml;hling, ja, sogar im Sommer werfen wir ihn uns ab und an l&auml;ssig &uuml;ber die Schultern. Hauptsache, der&nbsp;kleine, fiese Feind&nbsp;kommt dir bei diesen Tagen mit seinem kalt nassen Antlitz nicht in die Quere!</p>
<p>&nbsp;</p>
<p><a href=""https://www.instagram.com/p/Bny_8YIBGVN/?taken-by=myfassbender"" target=""_blank"" rel=""noopener noreferrer"">#whocaresabouttheweather</a></p>",
METAFIELD,'6259436486771,value,en,,,"<p>Pl&ouml;tzlich, unberechenbar und deshalb f&uuml;r uns gef&uuml;hlt auch v&ouml;llig skrupellos, lauert der kleine, fiese Feind an diesen Tagen hinter jeder Ecke.&nbsp;Egal ob K&uuml;ste, Landscape oder City: der eisige Wind kommt. Aber! Der Herbst w&auml;re nicht der Herbst, wenn er nicht auch seine sch&ouml;nen Seiten zeigen w&uuml;rde und eine davon k&ouml;nnen wir mit gro&szlig;er Klasse tragen:</p>
<p>Humphrey Bogart trug ihn in&nbsp;<em>Casablanca</em>&nbsp;und Inspector Columbo machte ihn zu seinem Markenzeichen. Als Schutz gegen ...</p>",
METAFIELD,'6259531087987,value,en,,,<p>Hier k&ouml;nnen Sie die Drittanbieter-Tracking-Dienste deaktivieren.</p>,
METAFIELD,'6261453848691,value,en,,,"<p style=""text-align: center;"">Trenchcoat mit herauskn&ouml;pfbarer Innenjacke und wasserabweisender Funktion - keine Kompromisse mehr im Styling auch nicht an Regentagen. Die w&auml;rmende Innenjacke hat eine Kapuze aus weichem Jersey und gibt diesem Klassiker sportliche Akzente. Die Silhouette ist leicht &uuml;berschnitten und kann in der Taille eng gerafft werden.</p>",
METAFIELD,'6261454307443,value,en,,,"<div style=""text-align: center;""><div class=""tab-content""><div id=""handle-kleid-ziggy-disco_product_tab_1"" class=""m-a-05 tab-pane fade active in"" role=""tabpanel""><p>Bitte professionell reinigen lassen</p></div></div></div>",
METAFIELD,'6261454372979,value,en,,,"<p style=""text-align: center;"">Locker sitzender Schnitt mit &uuml;berschnittenden Schultern und Tunnelzug Raffung in der Taille. <br />Herauskn&ouml;pfbare Innenjacke mit Jersey Kapuze</p>",
METAFIELD,'6261454438515,value,en,,,"<p style=""text-align: center;"">Trench 100% Baumwolle<br />Innenjacke 76% Polyester / 24% Nylon<br />Jersey Kapuze 100% Baumwolle<br />Futter 100% Polyester<br />Horn Optik Kn&ouml;pfe</p>",
METAFIELD,'6261478752371,value,en,,,"<p style=""text-align: center;"">Trenchcoat mit herauskn&ouml;pfbarer Innenjacke und wasserabweisender Funktion - keine Kompromisse mehr im Styling auch nicht an Regentagen. Die w&auml;rmende Innenjacke hat eine Kapuze aus weichem Jersey und gibt diesem Klassiker sportliche Akzente. Die Silhouette ist leicht &uuml;berschnitten und kann in der Taille eng gerafft werden.</p>",
METAFIELD,'6261478785139,value,en,,,"<div style=""text-align: center;""><div class=""tab-content""><div id=""handle-kleid-ziggy-disco_product_tab_1"" class=""m-a-05 tab-pane fade active in"" role=""tabpanel""><p>Bitte professionell reinigen lassen</p></div></div></div>",
METAFIELD,'6261478817907,value,en,,,"<p style=""text-align: center;"">Locker sitzender Schnitt mit &uuml;berschnittenden Schultern und Tunnelzug Raffung in der Taille. <br />Herauskn&ouml;pfbare Innenjacke mit Jersey Kapuze</p>",
METAFIELD,'6261478850675,value,en,,,"<p style=""text-align: center;"">Trench 100% Baumwolle<br />Innenjacke 76% Polyester / 24% Nylon<br />Jersey Kapuze 100% Baumwolle<br />Futter 100% Polyester<br />Horn Optik Kn&ouml;pfe</p>",
METAFIELD,'6261494775923,value,en,,,"<p style=""text-align: center;"">Setze ein Statement mit diesem hochwertigen Baumwoll Samt Parka. Die abnehmbare Kapuze ist mit Faux Fur gef&uuml;ttert, welches aussergew&ouml;hnlich weich ist und kuschelig warm h&auml;lt</p>",
METAFIELD,'6261494808691,value,en,,,"<p style=""text-align: center;"">Bitte professionell reinigen lassen</p>",
METAFIELD,'6261494841459,value,en,,,"<p style=""text-align: center;"">Gerade geschnittener Mantel mit abnehmbarer Kaupuze. F&auml;llt der Gr&ouml;&szlig;e entsprechend normal aus.<br />Gr&ouml;&szlig;e 34 - 40</p>",
METAFIELD,'6261494874227,value,en,,,"<p style=""text-align: center;"">100% Baumwolle<br />Futter Kapuze 93% Modal/7% Polyester<br />100% Polyester<br />Echtmetall Rei&szlig;verschl&uuml;sse</p>",
